"","claim_no","claim_size","txn_time","txn_delay","txn_type","incurred","OCL","cumpaid","multiplier"
"1",1,232310.088224719,1.86537977883263,0,"Ma",29118.3460587429,29118.3460587429,0,1
"2",1,232310.088224719,5.79954355514057,3.93416377630794,"P",29118.3460587429,15506.7533757946,13611.5926829483,NA
"3",1,232310.088224719,10.5614822642268,8.69610248539421,"PMi",31725.7119431356,1586.28559715678,30139.4263459788,1.08193282826566
"4",1,232310.088224719,10.7337075252727,8.86832774644002,"Ma",132586.6533015,102447.226955521,30139.4263459788,7.74879774820279
"5",1,232310.088224719,10.8620810359236,8.996701257091,"Ma",313337.480487454,283198.054141475,30139.4263459788,2.36176417146829
"6",1,232310.088224719,17.6986393032157,15.833259524383,"Mi",293111.475402873,262972.049056895,30139.4263459788,0.89413595223778
"7",1,232310.088224719,18.4951408440754,16.6297610652427,"PMi",250672.817970751,204486.022205054,46186.7957656963,0.83486775186184
"8",1,232310.088224719,23.2894461287008,21.4240663498681,"P",250672.817970751,13663.6716462686,237009.146324482,NA
"9",1,232310.088224719,25.0803058408843,23.2149260620516,"PMi",258195.707288933,0,258195.707288933,0.944466429688363
"10",2,237675.12440153,1.59806177642067,0,"Ma",41767.0937757349,41767.0937757349,0,1
"11",2,237675.12440153,3.982295412886,2.38423363646533,"P",41767.0937757349,27474.0117578596,14293.0820178753,NA
"12",2,237675.12440153,6.86511773043874,5.26705595401806,"P",41767.0937757349,12692.5157131207,29074.5780626142,NA
"13",2,237675.12440153,11.0635697443162,9.46550796789557,"Mi",45189.7581339898,16115.1800713756,29074.5780626142,1.10666921692588
"14",2,237675.12440153,13.8974622929428,12.2994005165222,"P",45189.7581339898,2259.48790669949,42930.2702272903,NA
"15",2,237675.12440153,15.3149512890326,13.716889512612,"Ma",271592.974303506,228662.704076215,42930.2702272903,8.85529714396802
"16",2,237675.12440153,20.284502810087,18.6864410336663,"PMi",257169.165037991,13090.2782868433,244078.886751147,0.909588976863598
"17",2,237675.12440153,23.3997429318804,21.8016811554597,"Mi",260397.924690853,16319.0379397055,244078.886751147,0.942215609980016
"18",2,237675.12440153,23.7472580662316,22.1491962898109,"P",260397.924690853,0,260397.924690853,NA
"19",3,83559.5742285117,2.37779769902017,0,"Ma",48165.6051761887,48165.6051761887,0,1
"20",3,83559.5742285117,4.20767121016212,1.82987351114196,"Mi",57603.5675378803,57603.5675378803,4.32009983342141e-12,1.18516291439945
"21",3,83559.5742285117,4.61528451034981,2.23748681132965,"Mi",74246.3180800062,74246.3180800062,4.32009983342141e-12,1.28632039114379
"22",3,83559.5742285117,4.86509090246437,2.4872932034442,"Mi",81657.3161301815,81657.3161301815,4.32009983342141e-12,1.09845706276864
"23",3,83559.5742285117,5.00475535669095,2.62695765767078,"PMi",96283.3358107244,94776.0766594259,1507.25915129854,1.17829963214958
