"","claim_no","occurrence_period","occurrence_time","claim_size","notidel","setldel","no_payment"
"1",1,1,0.734094301005825,914214.872838366,3.44903264800693,22.0728618316477,13
"2",2,1,0.333071983419359,139185.716484475,0.0352818481857417,15.7117433289642,11
"3",3,1,0.515063329832628,326223.992727281,0.133984201723271,20.4384674386749,7
"4",4,1,0.743974646320567,74639.7039743196,2.22084446545295,11.3056634806896,8
"5",5,1,0.619159240042791,128470.654667319,2.50425488796675,12.4737049908445,7
"6",6,1,0.62624534452334,11890.8555800836,1.80816602169999,3.29606457078448,2
"7",7,1,0.217157698236406,1799894.83048394,0.802088163442897,27.0530933561081,5
"8",8,1,0.216567310970277,364.368357173454,2.68589265321487,1.46980340596534,1
"9",9,1,0.388945028651506,118363.388012108,0.539253780454329,12.2919176165099,4
"10",10,1,0.942455691983923,289933.685860441,0.837737384260292,24.4721210995994,6
"11",11,1,0.962608013767749,37573.555392041,0.516100989021472,7.5244133349582,6
"12",12,1,0.73985527921468,21083.2364538633,6.21998344308932,5.74153442014726,4
"13",13,1,0.73324590572156,196656.604152098,1.31115394306836,7.61368642304562,4
"14",14,1,0.535761289997026,865067.461641408,0.74874361888891,17.2068726429199,14
"15",15,1,0.00227296608500183,31028.716389681,3.74787934020369,8.14622785298868,4
"16",16,1,0.608937452547252,21823.8383516712,3.79784422304846,4.65518845527966,4
"17",17,1,0.836801559431478,7142.9283904777,7.16565169880757,2.52070633149969,2
"18",18,1,0.751522562699392,15479.1924225821,2.03847916774074,4.78321373184122,4
"19",19,1,0.452731572557241,15838.1341867431,7.33040391043002,4.7299998222839,5
"20",20,1,0.535789993824437,2535.8956146511,7.78436060204739,1.3926454666725,1
"21",21,1,0.53737669531256,169189.473957308,0.0214049935794063,15.8318910484268,4
"22",22,1,0.00138084357604384,29545.0287497547,4.80307205722814,11.6340942610663,5
"23",23,1,0.355665953829885,137509.026528609,2.99916004037175,15.4518017952589,4
"24",24,1,0.612133090151474,677247.597657125,0.336965504299894,24.5863838580476,5
"25",25,1,0.828942130552605,195232.855015539,0.697208719415827,21.75904853819,4
"26",26,1,0.356721999356523,2341.3957643845,5.09680246133714,1.36735413057375,2
"27",27,1,0.410635125823319,47601.3010741203,1.70542652678087,9.51273634596796,4
